source_name,category,title,content,url,published_at,view_count,comment_count,collected_at
뽐뿌,자동차포럼,"[현장] 전기차에 밀리면 끝장..자동차 부품업계, 정부에 생산촉진세제 도입 SOS 요청",중국 가격 경쟁력·정부 지원 앞세운 공세에 위기감 고조…지금 대응 못하면 돌이킬 수 없어업계 구매보,https://m.ppomppu.co.kr/new/bbs_view.php?id=car&no=971146,2026-06-17 12:49,,,2026-06-17 15:30:08
뽐뿌,자동차포럼,차 고민입니다.. 추천 부탁드립니다(그랜져하브 vs 모델3),40대중반 평범한 직장인입니다.일 출퇴근거리가 왕복 100키로에 가끔 주말도 출근을 해서출근거리가 꽤됩니,https://m.ppomppu.co.kr/new/bbs_view.php?id=car&no=971144,2026-06-17 12:42,,,2026-06-17 15:30:10
뽐뿌,자동차포럼,갑자기 눈이 돌아서 레이ev를 계약해버렸는데 다나와 딜러 괜찮겠죠?,"계약서 보니까 동의를 받는 부분이 많더라구요온라인 계약이 아니다, 공식할인 외에 약속받은 항목이 없다",https://m.ppomppu.co.kr/new/bbs_view.php?id=car&no=971143,2026-06-17 12:41,,,2026-06-17 15:30:11
뽐뿌,자동차포럼,테슬라는 가성비차량이면서도,안전도가 미쳤죠가장 안전한 차에 올랐구요.전기차 화재 측면에서도 단연 압도적으로안전하고충돌시에도 다,https://m.ppomppu.co.kr/new/bbs_view.php?id=car&no=971136,2026-06-17 11:22,,80.0,2026-06-17 15:30:12
뽐뿌,자동차포럼,pv5 카고 ev스타리아 카고 요즘 살수 있나요? 보조금 신청 끝났다고 애기 들었는데.. 요즘 어때요?,개인사업자라서 하나 살까 하는데.. 소상공인 할인도 되나 본데..지원금 신청이 다 끝났다는 애기를 들은것,https://m.ppomppu.co.kr/new/bbs_view.php?id=car&no=971133,2026-06-17 10:53,,,2026-06-17 15:30:13
뽐뿌,자동차포럼,EV5는 중국산 배터리입니다.,그들이 그렇게 욕하던 CATL 배터리입니다. 님들이 그렇게 공격하던 짱깨짱깨 시진핑 개xx해봐 하던그 나라,https://m.ppomppu.co.kr/new/bbs_view.php?id=car&no=971132,2026-06-17 10:44,,,2026-06-17 15:30:15
뽐뿌,자동차포럼,요즘은 전기차 불안나나요??,요즘은 보니 특별히 뉴스가 없는것 같아서이제 전기차도 한 번 사볼까 하는 생각이 드네요..요즘은 기술이,https://m.ppomppu.co.kr/new/bbs_view.php?id=car&no=971131,2026-06-17 10:41,,,2026-06-17 15:30:16
뽐뿌,자동차포럼,모델Y RWD가 진짜 극강의 최고 가성비가 맞습니다.,수리할건이 생겨서 본인의 RWD를 정비소에 맞겨놓고렌트카로 모델Y 롱레인지를 받았습니다.미국산 구형차인,https://m.ppomppu.co.kr/new/bbs_view.php?id=car&no=971125,2026-06-17 10:01,,,2026-06-17 15:30:17
뽐뿌,자동차포럼,확실히 테슬라는 중저가 보급형 브랜드로 자리 잡았네요,업무 특성상 여러 아파트 방문이 많은데요많이 다니다보니 보면 주차장에 주차해 있는 차들 많이 보게 됩니,https://m.ppomppu.co.kr/new/bbs_view.php?id=car&no=971122,2026-06-17 09:18,,,2026-06-17 15:30:19
뽐뿌,자동차포럼,ev3 롱레인지와 토레스 evx 어떤게 좋을까요?,출퇴근 거리가 일평균 60키로 정도 되고 현재 티볼리 에어 타고 있습니다. 11년 10만이 넘어가니 소리도 나,https://m.ppomppu.co.kr/new/bbs_view.php?id=car&no=971119,2026-06-17 03:43,,,2026-06-17 15:30:20
