"cs_id","regioin_cd"
"281","11110"
"283","11110"
"826","11110"
"827","11110"
"829","11110"
"830","11110"
"1007","11110"
"1011","11110"
"1012","11110"
"1013","11110"
"1015","11110"
"1373","11110"
"5060","11110"
"5062","11110"
"5063","11110"
"5167","11110"
"11","11140"
"14","11140"
"282","11140"
"594","11140"
"595","11140"
"596","11140"
"828","11140"
"1008","11140"
"1009","11140"
"2947","11140"
"3005","11140"
"3068","11140"
"3849","11140"
"3993","11140"
"4793","11140"
"5057","11140"
"5058","11140"
"5059","11140"
"5631","11140"
"8118","11140"
"8119","11140"
"9249","11140"
"591","11170"
"592","11170"
"593","11170"
"814","11170"
"816","11170"
"819","11170"
"820","11170"
"821","11170"
"823","11170"
"824","11170"
"1006","11170"
"1367","11170"
"1371","11170"
"1372","11170"
"2542","11170"
"3084","11170"
"3600","11170"
"3814","11170"
"15","11200"
"583","11200"
"791","11200"
"792","11200"
"793","11200"
"1850","11200"
"2539","11200"
"2970","11200"
"2996","11200"
"3006","11200"
"3021","11200"
"3083","11200"
"3337","11200"
"4150","11200"
"4794","11200"
"4801","11200"
"4810","11200"
"6822","11200"
"8113","11200"
"216","11215"
"288","11215"
"289","11215"
"581","11215"
"983","11215"
"2228","11215"
"3998","11215"
"4151","11215"
"209","11230"
"284","11230"
"578","11230"
"787","11230"
"788","11230"
"1349","11230"
"1350","11230"
"1849","11230"
"2429","11230"
"2430","11230"
"2725","11230"
"2961","11230"
"3020","11230"
"3315","11230"
"4814","11230"
"5814","11230"
"5815","11230"
"12","11260"
"579","11260"
"580","11260"
"785","11260"
"786","11260"
"789","11260"
"978","11260"
"979","11260"
"980","11260"
"981","11260"
"982","11260"
"2690","11260"
"2851","11260"
"3885","11260"
"4145","11260"
"4152","11260"
"4154","11260"
"5563","11260"
"5805","11260"
"213","11290"
"214","11290"
"597","11290"
"831","11290"
"832","11290"
"833","11290"
"835","11290"
"836","11290"
"1017","11290"
"1018","11290"
"1019","11290"
"1374","11290"
"2288","11290"
"2289","11290"
"2382","11290"
"2667","11290"
"2724","11290"
"2761","11290"
"2910","11290"
"3069","11290"
"3134","11290"
"3353","11290"
"3602","11290"
"3999","11290"
"4808","11290"
"10","11305"
"834","11305"
"1016","11305"
"2383","11305"
"3019","11305"
"3500","11305"
"3815","11305"
"4143","11305"
"584","11320"
"585","11320"
"586","11320"
"587","11320"
"590","11320"
"801","11320"
"803","11320"
"806","11320"
"985","11320"
"988","11320"
"989","11320"
"996","11320"
"998","11320"
"1358","11320"
"1360","11320"
"2379","11320"
"2995","11320"
"3079","11320"
"3129","11320"
"3130","11320"
"3131","11320"
"4802","11320"
"4803","11320"
"4807","11320"
"5625","11320"
"7177","11320"
"36","11350"
"104","11350"
"589","11350"
"796","11350"
"798","11350"
"800","11350"
"805","11350"
"807","11350"
"986","11350"
"993","11350"
"995","11350"
"1356","11350"
"1357","11350"
"1359","11350"
"1851","11350"
"2378","11350"
"2540","11350"
"2640","11350"
"2682","11350"
"2764","11350"
"2776","11350"
"2967","11350"
"2990","11350"
"3067","11350"
"3232","11350"
"3816","11350"
"3994","11350"
"4146","11350"
"5760","11350"
"8114","11350"
"8115","11350"
"141","11380"
"208","11380"
