addr,chargeTp,cpId,cpNm,cpStat,cpTp,csId,csNm,lat,longi,statUpdatedatetime
"대구광역시 북구 태평로 161 (칠성동2가, 롯데백화점 대구역) 지상 6층 주차장",2,672,급속01,4,10,230,롯데백화점 대구점,35.87641,128.59713,
"대구광역시 동구 안심로16길 71 (율하동, e편한세상세계육상선수촌2단지) 205동 지하 1층 Y5-2구역",1,3388,완속03,6,03,1111,e편한세상 세계육상선수촌2단지,35.861449,128.694848,
"대구광역시 동구 안심로16길 71 (율하동, e편한세상세계육상선수촌2단지) 205동 지하 1층 Y5-2구역",1,3387,완속02,1,03,1111,e편한세상 세계육상선수촌2단지,35.861449,128.694848,
"대구광역시 동구 안심로16길 71 (율하동, e편한세상세계육상선수촌2단지) 205동 지하 1층 Y5-2구역",1,3386,완속01,6,03,1111,e편한세상 세계육상선수촌2단지,35.861449,128.694848,
"대구광역시 동구 안심로16길 71 (율하동, e편한세상세계육상선수촌2단지) 205동 지하 1층 Y5-2구역",2,3385,급속01,1,10,1111,e편한세상 세계육상선수촌2단지,35.861449,128.694848,
"대전광역시 중구 평촌로 93 (태평동, 쌍용예가아파트) 지하주차장",1,7135,완속02,4,03,2702,쌍용예가아파트,36.3234713809484,127.396972272104,
"대전광역시 중구 평촌로 93 (태평동, 쌍용예가아파트) 지하주차장",1,7134,완속01,4,03,2702,쌍용예가아파트,36.3234713809484,127.396972272104,
"대전광역시 중구 평촌로 93 (태평동, 쌍용예가아파트) 지하주차장",2,7133,급속01,4,10,2702,쌍용예가아파트,36.3234713809484,127.396972272104,
"충청북도 제천시 장평천로 11 (강제동, 제천E-MART) 4층 주차장",2,5973,급속01,1,10,2121,이마트 제천점,37.1232073886,128.2229005468,
세종특별자치시 보듬3로 105 지상 2층 주차장,2,6883,급속02,1,10,2603,아름공영주차장,36.511573,127.247795,
세종특별자치시 보듬3로 105 지상 2층 주차장,2,6882,급속01,1,10,2603,아름공영주차장,36.511573,127.247795,
세종특별자치시 보듬3로 105 지상 2층 주차장,2,12833,급속04,4,07,2603,아름공영주차장,36.511573,127.247795,
세종특별자치시 보듬3로 105 지상 2층 주차장,2,12832,급속03,4,07,2603,아름공영주차장,36.511573,127.247795,
경상북도 상주시 경상대로 2559 지상주차장(도서관(본관)뒤 서측),2,6082,급속01,6,10,2198,경북대학교(상주캠퍼스),36.379383,128.143199,
"경기도 남양주시 진접읍 진벌로 85-1 (진벌리, 신창비바패밀리아파트) 4동 P5,6주차장 지하1층 A05구역",1,7829,완속01,1,03,2965,진접신창비바패밀리아파트,37.7452790571892,127.217015296489,
"경기도 남양주시 진접읍 진벌로 85-1 (진벌리, 신창비바패밀리아파트) 4동 P5,6주차장 지하1층 A05구역",2,7828,급속01,1,10,2965,진접신창비바패밀리아파트,37.7452790571892,127.217015296489,
서울특별시 마포구 용강동 토정로31길 24 지하주차장2층42기둥,1,3080,완속03,1,03,1003,e편한세상마포리버파크,37.541996,126.943692,
서울특별시 마포구 용강동 토정로31길 24 지하주차장2층42기둥,1,3079,완속02,1,03,1003,e편한세상마포리버파크,37.541996,126.943692,
서울특별시 마포구 용강동 토정로31길 24 지하주차장2층42기둥,1,3078,완속01,6,03,1003,e편한세상마포리버파크,37.541996,126.943692,
서울특별시 마포구 용강동 토정로31길 24 지하주차장2층42기둥,2,3077,급속01,1,10,1003,e편한세상마포리버파크,37.541996,126.943692,
"충청북도 진천군 문백면 옥성1길 21 (옥성리, 문백면행정복지센터) 건물 뒤쪽 지상주차장",2,8678,급속01,1,10,3388,문백면사무소,36.784785,127.437682,
"전라남도 목포시 하당로 12 (상동, 꿈동산신안아파트) (실내지하)지하주차장",1,7976,완속03,1,03,3007,꿈동산 신안2차아파트,34.7985178912794,126.424787227657,
"전라남도 목포시 하당로 12 (상동, 꿈동산신안아파트) (실내지하)지하주차장",1,7975,완속02,1,03,3007,꿈동산 신안2차아파트,34.7985178912794,126.424787227657,
"전라남도 목포시 하당로 12 (상동, 꿈동산신안아파트) (실내지하)지하주차장",1,7974,완속01,2,03,3007,꿈동산 신안2차아파트,34.7985178912794,126.424787227657,
"전라남도 목포시 하당로 12 (상동, 꿈동산신안아파트) (실내지하)지하주차장",2,7973,급속01,1,10,3007,꿈동산 신안2차아파트,34.7985178912794,126.424787227657,
제주특별자치도 제주시 한림읍 한림중앙로 150 북측 주차장,2,707,급속02[VP],1,10,256,서부소방서,33.402687,126.270434,
제주특별자치도 제주시 한림읍 한림중앙로 150 북측 주차장,2,706,급속01,4,10,256,서부소방서,33.402687,126.270434,
경기도 수원시 권선구 세류로 22 B2F A41,1,1881,완속03,1,03,569,수원센트럴타운2단지,37.262538,127.006438,
경기도 수원시 권선구 세류로 22 B2F A41,1,1880,완속02,2,03,569,수원센트럴타운2단지,37.262538,127.006438,
경기도 수원시 권선구 세류로 22 B2F A41,1,1879,완속01,1,03,569,수원센트럴타운2단지,37.262538,127.006438,
경기도 수원시 권선구 세류로 22 B2F A41,2,1878,급속01,1,10,569,수원센트럴타운2단지,37.262538,127.006438,
대구광역시 수성구 지범로 52 (지산동) 상가주차장,1,1658,완속02,1,03,476,범물인앤인 아파트,35.813982,128.644375,
대구광역시 수성구 지범로 52 (지산동) 상가주차장,1,1657,완속01,3,03,476,범물인앤인 아파트,35.813982,128.644375,
대구광역시 수성구 지범로 52 (지산동) 상가주차장,2,1656,급속01[NR],1,10,476,범물인앤인 아파트,35.813982,128.644375,
"강원특별자치도 강릉시 율곡로 2974 (교동, 교2동주민센터) 교2동주민센터 지상주차장",2,6677,급속01,1,10,2439,교2동주민센터,37.7679419123392,128.892383373727,
서울특별시 구로구 오류동 오류로 30 지하주차장 2층 106동 24번 기둥,1,6439,완속02,1,03,2351,천왕연지타운1단지,37.4864295233,126.8400162357,
서울특별시 구로구 오류동 오류로 30 지하주차장 2층 106동 24번 기둥,1,6438,완속01,1,03,2351,천왕연지타운1단지,37.4864295233,126.8400162357,
서울특별시 구로구 오류동 오류로 30 지하주차장 2층 106동 24번 기둥,2,6437,급속01,1,10,2351,천왕연지타운1단지,37.4864295233,126.8400162357,
경기도 수원시 영통구 이의동 에듀타운로 65 지하2층 주차장,1,3917,완속03,1,03,1300,광교자연앤자이2단지,37.287425,127.048294,
경기도 수원시 영통구 이의동 에듀타운로 65 지하2층 주차장,1,3916,완속02,1,03,1300,광교자연앤자이2단지,37.287425,127.048294,
